(515, 4500)
(515, 16748)
(60556, 4500)
(60556, 16748)
(103601, 4500)
(103601, 16748)
(516, 16782)
(516, 4499)
(516, 16747)
(60557, 16782)
(60557, 4499)
(60557, 16747)
(103602, 16782)
(103602, 4499)
(103602, 16747)
(517, 16746)
(103603, 16746)
(5937, 16369)
(5937, 12379)
(84446, 16369)
(84446, 12379)
(5938, 16370)
(8186, 17481)
(8186, 6654)
(101749, 17481)
(101749, 6654)
(14709, 14148)
(14709, 855)
(142365, 14148)
(142365, 855)
(14710, 14149)
(14711, 14150)
(15357, 4811)
(15357, 13174)
(15357, 1164)
(29586, 4811)
(29586, 13174)
(29586, 1164)
(86251, 4811)
(86251, 13174)
(86251, 1164)
(15358, 4812)
(86252, 4812)
(15359, 4813)
(16424, 5244)
(74576, 5244)
(16425, 12637)
(16425, 15675)
(16425, 5243)
(74577, 12637)
(74577, 15675)
(74577, 5243)
(180085, 12637)
(180085, 15675)
(180085, 5243)
(16532, 5942)
(16533, 5941)
(16533, 17528)
(48405, 5941)
(48405, 17528)
(17728, 4164)
(17728, 16595)
(17729, 4163)
(17729, 16594)
(26143, 4163)
(26143, 16594)
(17901, 6541)
(17901, 11048)
(200221, 6541)
(200221, 11048)
(17902, 5120)
(17902, 6542)
(17902, 11049)
(104899, 5120)
(104899, 6542)
(104899, 11049)
(200222, 5120)
(200222, 6542)
(200222, 11049)
(17903, 6543)
(18524, 8681)
(18524, 17621)
(103296, 8681)
(103296, 17621)
(26973, 19642)
(28873, 627)
(28873, 1066)
(28873, 18156)
(34122, 627)
(34122, 1066)
(34122, 18156)
(125673, 627)
(125673, 1066)
(125673, 18156)
(28874, 18155)
(29533, 5563)
(29585, 4810)
(86250, 4810)
(29587, 13175)
(31187, 6192)
(32438, 7079)
(32438, 15947)
(62487, 7079)
(62487, 15947)
(32439, 7078)
(32439, 15946)
(62488, 7078)
(62488, 15946)
(32440, 15945)
(34123, 1065)
(125674, 1065)
(37379, 15328)
(43109, 1499)
(43109, 18734)
(43109, 1344)
(59579, 1499)
(59579, 18734)
(59579, 1344)
(72234, 1499)
(72234, 18734)
(72234, 1344)
(43110, 1500)
(43111, 1501)
(48406, 5940)
(48897, 13864)
(49632, 7279)
(49632, 13625)
(49633, 7280)
(49633, 13626)
(49633, 19789)
(181411, 7280)
(181411, 13626)
(181411, 19789)
(191173, 7280)
(191173, 13626)
(191173, 19789)
(49915, 8548)
(49916, 8547)
(49917, 6355)
(49917, 8546)
(72157, 6355)
(72157, 8546)
(49918, 8545)
(72158, 8545)
(49919, 8544)
(51527, 7991)
(51528, 7990)
(51529, 7989)
(51529, 14957)
(144870, 7989)
(144870, 14957)
(51530, 7988)
(58270, 11449)
(58270, 13802)
(93897, 11449)
(93897, 13802)
(59262, 19623)
(59263, 19622)
(59264, 19621)
(59580, 1343)
(59581, 1342)
(60558, 4498)
(60559, 4497)
(62486, 7080)
(62489, 7077)
(70165, 11546)
(70166, 11547)
(70166, 20748)
(70166, 3358)
(99292, 11547)
(99292, 20748)
(99292, 3358)
(135640, 11547)
(135640, 20748)
(135640, 3358)
(70167, 11548)
(72156, 6354)
(72233, 1498)
(72233, 18733)
(72235, 18735)
(72236, 18736)
(74578, 12638)
(77315, 17791)
(77315, 13206)
(77316, 17792)
(77316, 13205)
(77316, 15659)
(102231, 17792)
(102231, 13205)
(102231, 15659)
(151623, 17792)
(151623, 13205)
(151623, 15659)
(77317, 13204)
(151624, 13204)
(80047, 9417)
(80048, 9418)
(80049, 9419)
(80049, 14381)
(165575, 9419)
(165575, 14381)
(84443, 12382)
(84444, 12381)
(84445, 12380)
(84447, 12378)
(85307, 11581)
(85307, 1763)
(172766, 11581)
(172766, 1763)
(85308, 1762)
(93896, 11448)
(95918, 13927)
(95919, 13926)
(95920, 13925)
(97992, 12802)
(97992, 3900)
(111215, 12802)
(111215, 3900)
(103604, 16745)
(103714, 9850)
(103714, 2566)
(103715, 9851)
(103715, 2565)
(156412, 9851)
(156412, 2565)
(103716, 2564)
(111214, 3901)
(112669, 5923)
(112670, 5922)
(117997, 13746)
(117997, 17093)
(127614, 13746)
(127614, 17093)
(117998, 17094)
(122928, 1049)
(123451, 30)
(123520, 6318)
(135639, 20747)
(142362, 858)
(142363, 857)
(142364, 856)
(143657, 2264)
(162879, 12185)
(165574, 14382)
(167166, 6498)
(179600, 10434)
(180082, 15672)
(180083, 15673)
(180084, 12636)
(180084, 15674)
(180086, 5242)
(181412, 13627)
(181413, 13628)
(182537, 7028)
(182538, 7029)
(191171, 19787)
(191172, 19788)
(197267, 9894)
(197268, 9895)
(198398, 14678)
(200220, 11047)
